,street,number,postal_code,neighbourhood,region,latitude,longitude,name
0,Oslo Gate,18,192,Gamle Oslo,Oslo,59.905077,10.767659,Oslo Gate 18
1,Osterhaus'' Gate,7,183,hammer,Oslo,59.915864,10.754429,Osterhaus'' Gate 7
2,Breigata,12,187,Enerhaugen,Oslo,59.914069,10.76123,Breigata 12
3,Grensen,20,180,hammer,Oslo,59.914377,10.741273,Grensen 20
4,Ullevålsveien,95,359,Bislett,Oslo,59.932711,10.733718,Ullevålsveien 95
5,Akershusstranda,25,150,St. Hanshaugen,Oslo,59.901814,10.741166,Akershusstranda 25
6,Sandakerveien,102D,484,Torshov,Oslo,59.944756,10.771561,Sandakerveien 102D
7,Torggata,35,183,hammer,Oslo,59.917298,10.754027,Torggata 35
8,Grundingen,2,250,Aker Brygge,Oslo,59.910351,10.727818,Grundingen 2
9,Oscars Gate,81,256,Ruselokka,Oslo,59.915955,10.71699,Oscars Gate 81
10,Arbeidergata,2,159,hammer,Oslo,59.914499,10.74084,Arbeidergata 2
11,Lilleakerveien,16,283,Skøyen,Oslo,59.917405,10.636047,Lilleakerveien 16
12,Heimdalsgata,37,578,Enerhaugen,Oslo,59.914111,10.767301,Heimdalsgata 37
13,Stranden,71,250,Aker Brygge,Oslo,59.908798,10.724357,Stranden 71
14,Skovveien,3,257,Ruselokka,Oslo,59.9159,10.716192,Skovveien 3
15,Erich Mogensøns Vei,38,594,Erich Mogensøns Vei,Oslo,59.943242,10.835478,Erich Mogensøns Vei 38
16,Vogts gate,45B,477,Torshov,Oslo,59.934189,10.764368,Vogts gate 45B
17,Bernt Ankers gate,37,183,hammer,Oslo,59.917023,10.75027,Bernt Ankers gate 37
18,Nedre Slottsgate,8,157,St. Hanshaugen,Oslo,59.91216,10.742763,Nedre Slottsgate 8
19,Bergensveien,2,963,Ammerud,Oslo,59.959893,10.881241,Bergensveien 2
20,Karl Johans Gate,39,162,Vika,Oslo,59.914315,10.737652,Karl Johans Gate 39
21,Ullveien,4B,791,Lysebu,Oslo,59.975541,10.66468,Ullveien 4B
22,,,0,Skøyen,Oslo,59.91367,10.64475,Drammensveien 288
23,Romsdalsgata,1C,556,Torshov,Oslo,59.927417,10.7644,Romsdalsgata 1C
24,Helgesens gate,16C,553,Fredensborg,Oslo,59.924627,10.759033,Helgesens gate 16C
25,Bernt Ankers gate,27,183,hammer,Oslo,59.916472,10.751166,Bernt Ankers gate 27
26,Fridtjof Nansens Plass,2,160,Vika,Oslo,59.912946,10.733441,Fridtjof Nansens Plass 2
27,Holmenveien,11,374,Ris,Oslo,59.943411,10.699794,Holmenveien 11
28,Sigurds Gate,16,650,Grønland,Oslo,59.912542,10.77387,Sigurds Gate 16
29,Youngs gate,19,181,hammer,Oslo,59.915119,10.750084,Youngs gate 19
30,Skøyenveien,43,375,Gimlé,Oslo,59.929176,10.687622,Skøyenveien 43
31,,,0,Kjelsås,Oslo,59.979252,10.817667,Solemskogen
32,Torggata,16B,181,hammer,Oslo,59.915926,10.751005,Torggata 16B
33,Lilleakerveien,16,283,Skøyen,Oslo,59.917405,10.636047,Lilleakerveien 16
34,Karenslyst Allé,2,278,Gimlé,Oslo,59.918396,10.686283,Karenslyst Allé 2
35,Thereses Gate,45,354,Bislett,Oslo,59.92654,10.731155,Thereses Gate 45
36,Bygdøy Allé,59,265,Gimlé,Oslo,59.918587,10.705045,Bygdøy Allé 59
37,Fredensborgveien,9B,177,hammer,Oslo,59.91787,10.747492,Fredensborgveien 9B
38,Ekebergveien,228,1162,Ekebergveien,Oslo,59.861331,10.800955,Ekebergveien 228
39,Stortingsgata,20,161,Vika,Oslo,59.91376,10.734885,Stortingsgata 20
40,Hausmanns Gate,8,182,hammer,Oslo,59.917118,10.755666,Hausmanns Gate 8
41,Hausmanns Gate,6,186,Enerhaugen,Oslo,59.915704,10.758676,Hausmanns Gate 6
42,Thorvald Meyers Gate,64,552,Enerhaugen,Oslo,59.921402,10.759434,Thorvald Meyers Gate 64
43,Bøkkerveien,4,579,Økern,Oslo,59.92698,10.793998,Bøkkerveien 4
44,Ruseløkkveien,26,251,Vika,Oslo,59.912665,10.726153,Ruseløkkveien 26
45,Brugata,11,186,Vaterland,Oslo,59.913825,10.756473,Brugata 11
46,Norbygata,56,190,Vaterland,Oslo,59.913141,10.765646,Norbygata 56
47,,,0,Tveita,Oslo,59.926288,10.847765,Alna senter
48,Frognerveien,1A,257,Ruselokka,Oslo,59.915147,10.717611,Frognerveien 1A
49,Arbeidergata,2,159,hammer,Oslo,59.914499,10.74084,Arbeidergata 2
50,Hoffsveien,92,377,Smedstad,Oslo,59.936898,10.683487,Hoffsveien 92
51,Hegdehaugsveien,34,352,Homansbyen,Oslo,59.922675,10.726310999999999,Hegdehaugsveien 34
52,Kirkegata,34,153,St. Hanshaugen,Oslo,59.911764,10.745347,Kirkegata 34
53,Vitaminveien,7,485,Nydalen,Oslo,59.947301,10.773794,Vitaminveien 7
54,Karenslyst Allé,55,277,Skøyen,Oslo,59.921501,10.67841,Karenslyst Allé 55
55,Bogstadveien,20,355,Bislett,Oslo,59.925211,10.722674,Bogstadveien 20
56,Thorvald Meyers gate,27A,555,Fredensborg,Oslo,59.926834,10.758914,Thorvald Meyers gate 27A
57,Sørengkaia,163,194,St. Hanshaugen,Oslo,59.902285,10.752083,Sørengkaia 163
58,Kjelsåsveien,18,488,Kjelsås,Oslo,59.944225,10.786392,Kjelsåsveien 18
59,Holmenkollveien,119,787,Holmenkollen,Oslo,59.961112,10.667218,Holmenkollveien 119
60,Brugata,8,186,hammer,Oslo,59.914075,10.754443,Brugata 8
61,Thorvald Meyers gate,61,552,Fredensborg,Oslo,59.922088,10.759126,Thorvald Meyers gate 61
62,Thorvald Meyers gate,78B,550,Enerhaugen,Oslo,59.918888,10.759708,Thorvald Meyers gate 78B
63,Sørkedalsveien,5B,369,Majorstuen,Oslo,59.930691,10.712197,Sørkedalsveien 5B
64,Hammersborggata,9,181,hammer,Oslo,59.915036,10.752189,Hammersborggata 9
65,Storgata,39,182,hammer,Oslo,59.915126,10.754685,Storgata 39
66,Jernbanetorget,6,154,St. Hanshaugen,Oslo,59.911864,10.751097,Jernbanetorget 6
67,Bogstadveien,36,366,Bislett,Oslo,59.926796,10.720213,Bogstadveien 36
68,Bøkkerveien,11,579,Økern,Oslo,59.92739,10.79616,Bøkkerveien 11
69,Ekebergveien,44,196,Gamle Oslo,Oslo,59.900943,10.778123,Ekebergveien 44
70,Carl Berners plass,2,568,Sindsen,Oslo,59.926437,10.776118,Carl Berners plass 2
71,Akershusstranda,25,150,St. Hanshaugen,Oslo,59.901814,10.741166,Akershusstranda 25
